Sigla_uf,Nome_municipio,Entidade_executora,Cod_ibge,Cnpj,Valor_per_capita,Aut_repasse_delegacao_rede,Prev_ed_infantil,Desc_ed_infantil,Vl_pagar_ed_infantil,Prev_ens_fundamental,Desc_ens_fundamental,Vl_pagar_ens_fundamental,Prev_ens_medio,Desc_ens_medio,Vl_pagar_ens_medio,Data_arquivo
AC,ACRELâNDIA,PREF MUN DE ACRELANDIA,1200013,84306737000127,180.18,Não,"6666,66",0,"6666,66","116756,64",0,"116756,64",0,0,0,2025-09-01
AC,ASSIS BRASIL,PREF MUN DE ASSIS BRASIL,1200054,04045993000179,180.89,Não,"3075,13",0,"3075,13","22611,25",0,"22611,25",0,0,0,2025-09-01
AC,BRASILéIA,PREF MUN DE BRASILEIA,1200104,04508933000145,179.68,Não,"6288,8",0,"6288,8","99183,36",0,"99183,36",0,0,0,2025-09-01
AC,BUJARI,PREF MUN DE BUJARI,1200138,84306620000143,181.15,Não,"11050,15",0,"11050,15","77351,05",0,"77351,05",0,0,0,2025-09-01
AC,CAPIXABA,PREF MUN DE CAPIXABA,1200179,84306604000150,179.22,Não,"30108,96",0,"30108,96","137640,96",0,"137640,96",0,0,0,2025-09-01
AC,CRUZEIRO DO SUL,PREF MUN DE CRUZEIRO DO SUL,1200203,04012548000102,182.28,Não,"38461,08",0,"38461,08","257561,64",0,"257561,64",0,0,0,2025-09-01
AC,EPITACIOLâNDIA,PREF MUN DE EPITACIOLANDIA,1200252,84306588000104,179.22,Não,"15233,7",0,"15233,7","79932,12",0,"79932,12",0,0,0,2025-09-01
AC,FEIJó,PREF MUN DE FEIJO,1200302,04005179000120,195.14,Não,"23221,66",0,"23221,66","268317,5",0,"268317,5",0,0,0,2025-09-01
AC,JORDãO,PREF MUN DE JORDAO,1200328,84306497000160,191.52,Não,"8618,4",0,"8618,4","210863,52",0,"210863,52",0,0,0,2025-09-01
AC,MâNCIO LIMA,PREF MUN DE MANCIO LIMA,1200336,04059671000189,182.99,Não,"12077,34",0,"12077,34","92592,94",0,"92592,94",0,0,0,2025-09-01
AC,MANOEL URBANO,PREF MUN DE MANOEL URBANO,1200344,04051207000146,193.16,Não,"1352,12",0,"1352,12",101409,0,101409,0,0,0,2025-09-01
AC,MARECHAL THAUMATURGO,PREF MUN DE MARECHAL THAUMATURGO,1200351,84306463000176,191.52,Não,"41559,84",0,"41559,84","566133,12",0,"566133,12",0,0,0,2025-09-01
AC,PLáCIDO DE CASTRO,PREF MUN DE PLACIDO DE CASTRO,1200385,04076733000160,179.17,Não,"29563,05",0,"29563,05","99976,86",0,"99976,86",0,0,0,2025-09-01
AC,PORTO ACRE,PREF MUN DE PORTO ACRE,1200807,84306661000130,181.19,Não,"41854,89",0,"41854,89","142234,15",0,"142234,15",0,0,0,2025-09-01
AC,PORTO WALTER,PREF MUN DE PORTO WALTER,1200393,63603625000168,191.52,Não,"3830,4",0,"3830,4","181560,96",0,"181560,96",0,0,0,2025-09-01
AC,RIO BRANCO,PREF MUN DE RIO BRANCO,1200401,04034583000122,180.98,Não,"25699,16",0,"25699,16","163243,96",0,"163243,96",0,0,0,2025-09-01
AC,RODRIGUES ALVES,PREF MUN DE RODRIGUES ALVES,1200427,84306455000120,181.44,Não,"8890,56",0,"8890,56","40461,12",0,"40461,12",0,0,0,2025-09-01
AC,SANTA ROSA DO PURUS,PREF MUN DE SANTA ROSA DO PURUS,1200435,84306521000161,191.52,Não,"383,04",0,"383,04","40793,76",0,"40793,76",0,0,0,2025-09-01
AC,SENA MADUREIRA,PREF MUN DE SENA MADUREIRA,1200500,04513362000137,191.52,Não,"12257,28",0,"12257,28","178305,12",0,"178305,12",0,0,0,2025-09-01
AC,SENADOR GUIOMARD,PREF MUN DE SENADOR GUIOMARD,1200450,04077251000125,179.64,Não,"47245,32",0,"47245,32","54610,56",0,"54610,56",0,0,0,2025-09-01
AC,TARAUACá,PREF MUN DE TARAUACA,1200609,34693564000179,191.52,Não,"11874,24",0,"11874,24","401425,92","24887,61","376538,31",0,0,0,2025-09-01
AC,XAPURI,PREF MUN DE XAPURI,1200708,04018560000124,181.72,Não,"6905,36",0,"6905,36","29802,08",0,"29802,08",0,0,0,2025-09-01
